"dynasty","name","portrait_url","reign_start_year","reign_length_days","succession","fate","hint","description","birthplace","religion","hide"
"Tetrarchy","Licinius","https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Bust_of_Licinius%2C_Kunsthistorisches_Museum_%28cropped%29.jpg/200px-Bust_of_Licinius%2C_Kunsthistorisches_Museum_%28cropped%29.jpg","308","5783","Usurped","Executed","He co-signed a famous proclamation of freedom, then went to war with his co-signer.","Licinius served as co-emperor in the east and co-issued the Edict of Milan with Constantine in 313 AD, granting religious freedom throughout the empire. Their alliance broke down into civil war, and Licinius was defeated and executed.","Illyricum","Pagan","false"
"Tetrarchy","Maximinus II Daza","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Aureus_of_Maximinus_II_%28obverse%29.jpg/200px-Aureus_of_Maximinus_II_%28obverse%29.jpg","310","1095","Dynastic succession","Natural causes","The last holdout against a rising faith, he died running from a battlefield.","Maximinus II Daza was a nephew of Galerius who was elevated to junior co-emperor in the east. He was the last Roman emperor to actively persecute Christians and died in 313 AD while fleeing after his defeat by Licinius.","Illyricum","Pagan","false"
"Constantinian dynasty","Constantine I","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Constantine_Chiaramonti_Inv1749_%28cropped%29.jpg/200px-Constantine_Chiaramonti_Inv1749_%28cropped%29.jpg","306","11247","Dynastic succession","Natural causes","By this sign, he conquered.","Constantine I was proclaimed emperor by his father's troops at York and spent years in civil wars to become sole ruler. He founded Constantinople, convened the Council of Nicaea in 325 AD, and transformed the empire by embracing Christianity.","Illyricum","Orthodox","false"
"Constantinian dynasty","Constantine II","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Campidoglio%2C_Roma_-_Costantino_II_cesare_dettaglio_%28cropped%29.jpg/200px-Campidoglio%2C_Roma_-_Costantino_II_cesare_dettaglio_%28cropped%29.jpg","337","940","Dynastic succession","Killed in battle","Had the name of a great, but was beaten by his younger brother.","Constantine II was the eldest son of Constantine I and inherited the western provinces. He quarreled with his younger brother Constans over territory and was killed in an ambush near Aquileia after just three years of rule.","Illyricum","Orthodox","false"
"Constantinian dynasty","Constans I","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Constant_head.jpg/200px-Constant_head.jpg","337","4500","Dynastic succession","Murdered","Undone by a barbarian officer, the sources accuse him of homosexuality.","Constans I was the youngest son of Constantine I, gaining control of the western empire after his brother Constantine II's death. He was overthrown by the usurper Magnentius in 350 AD and killed while fleeing.","Illyricum","Orthodox","false"
"Constantinian dynasty","Constantius II","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Bust_of_Constantius_II_%28Mary_Harrsch%29_%28cropped%29.jpg/200px-Bust_of_Constantius_II_%28Mary_Harrsch%29_%28cropped%29.jpg","337","8815","Dynastic succession","Natural causes","Purged his family, then outlasted his brothers.","Constantius II was the middle son of Constantine I who eventually became sole emperor. He spent much of his reign fighting the Sasanian Persians and promoted Arianism, a theological position on the nature of Christ that was ultimately rejected by church councils.","Illyricum","Arian","false"
"Constantinian dynasty","Magnentius","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Medallion_of_Magnentius.png/200px-Medallion_of_Magnentius.png","350","1298","Usurped","Suicide","The civil war he lost bled the army so badly it never fully recovered.","Magnentius was a military officer of Germanic descent who overthrew the emperor Constans in 350 AD. He lost a devastating civil war to Constantius II, with the Battle of Mursa Major producing casualties so severe it permanently weakened the Roman military.","Gallia","Pagan","false"
"Constantinian dynasty","Vetranio","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Vetranio_coin_%28transparent_background%29.png/200px-Vetranio_coin_%28transparent_background%29.png","350","294","Usurped","Abdicated","He gave the job back voluntarily and got a quiet retirement as a reward.","Vetranio was an elderly general proclaimed emperor by his Danubian troops during the civil unrest following Constans's death. He voluntarily surrendered power to Constantius II after only a few months and was allowed to retire peacefully.","Illyricum","Orthodox","true"
"Constantinian dynasty","Julian","https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Juliancng8851obverse.jpg/200px-Juliancng8851obverse.jpg","361","598","Dynastic succession","Killed in battle","A bookworm turnt emperor, he tried to reverse the tide of history.","Julian was raised in scholarly seclusion and unexpectedly proved a brilliant military commander in Gaul. He famously rejected Christianity and attempted to restore traditional pagan worship, dying from a spear wound during a campaign against the Sasanian Empire in 363 AD.","Constantinople","Pagan","false"
"Constantinian dynasty","Jovian","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Solidus_of_Jovian2_%28obverse%29.jpg/200px-Solidus_of_Jovian2_%28obverse%29.jpg","363","231","Usurped","Natural causes","Picked in a panic after a death on campaign, he died possibly to paint.","Jovian was a military officer hastily chosen as emperor after Julian's death during the Persian campaign. He negotiated an unfavorable peace treaty ceding territory to the Sasanians and died mysteriously after ruling for only about eight months.","Illyricum","Orthodox","false"
"Valentinianic dynasty","Valentinian I","https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Restored_head_of_Valentinian_I_%28cropped%29.jpg/200px-Restored_head_of_Valentinian_I_%28cropped%29.jpg","364","4278","Usurped","Natural causes","An angry man who was the last Emperor to campaign across the Rhine.","Valentinian I was a career soldier from Pannonia selected as emperor by a council of military officers. Known for his violent temper, he kept two pet bears near his bedchamber and died of a stroke in 375 AD, reportedly while shouting at a Quadi delegation.","Illyricum","Orthodox","false"
"Valentinianic dynasty","Valens","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/INC-1867-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82_II._%D0%9E%D0%BA._375%E2%80%94378_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png/200px-INC-1867-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82_II._%D0%9E%D0%BA._375%E2%80%94378_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png","364","5242","Dynastic succession","Killed in battle","Mishandled immigrants and died from unaccounted infantry.","Valens was given the eastern half of the empire by his brother Valentinian I and spent much of his reign dealing with Gothic refugees who crossed the Danube. He died at the Battle of Adrianople in 378 AD, a defeat often cited as a pivotal moment in the empire's decline.","Illyricum","Arian","false"
"Valentinianic dynasty","Procopius","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/INC-1866-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%9F%D1%80%D0%BE%D0%BA%D0%BE%D0%BF%D0%B8%D0%B9._%D0%9E%D0%BA._365%E2%80%94366_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png/200px-INC-1866-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%9F%D1%80%D0%BE%D0%BA%D0%BE%D0%BF%D0%B8%D0%B9._%D0%9E%D0%BA._365%E2%80%94366_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png","365","239","Usurped","Executed","He came out of hiding to grab the capital while the real ruler was away, and it didn't last.","Procopius was a relative of the emperor Julian who emerged from hiding to seize Constantinople while Valens was away. He briefly gained support by presenting himself as a dynastic heir but was betrayed by his own supporters and executed.","Illyricum","Pagan","false"
"Valentinianic dynasty","Gratian","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Gratian_Trier_enhanced.jpg/200px-Gratian_Trier_enhanced.jpg","375","2833","Dynastic succession","Murdered","""Elevated a """"great"""", and died to another """"great"""".""","Gratian became western emperor as a teenager and offended the traditional Roman senatorial class by removing the Altar of Victory from the Senate house. He elevated Theodosius to replace Valens after the disastrous battle of Adrianople. He was abandoned by his army in favour of the usurper Magnus Maximus from Britain and was murdered in 383 AD.","Illyricum","Orthodox","false"
"Valentinianic dynasty","Magnus Maximus","https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Rare_aureus_of_Magnus_Maximus_%28obverse_transparent%29.png/200px-Rare_aureus_of_Magnus_Maximus_%28obverse_transparent%29.png","383","1828","Usurped","Executed","The great, the greatest.","Magnus Maximus was a military commander in Britain who was proclaimed emperor by his troops and crossed to Gaul to seize power. He became a legendary figure in Welsh and British tradition and was eventually defeated and executed by Theodosius I.","Hispania","Orthodox","false"
"Valentinianic dynasty","Valentinian II","https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Statue_of_emperor_Valentinian_II_%28cropped_enhanced%29.JPG/200px-Statue_of_emperor_Valentinian_II_%28cropped_enhanced%29.JPG","388","1352","Dynastic succession","Suicide","A lifelong puppet found hanging, starting a civil war.","Valentinian II became western emperor as a small child and spent his entire reign controlled by powerful generals and advisors. He was found dead by hanging, officially ruled a suicide, though murder by the Frankish general Arbogast was widely suspected.","Illyricum","Orthodox","false"
"Valentinianic dynasty","Eugenius","https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Eugenius_coin_%28transparent%29.png/200px-Eugenius_coin_%28transparent%29.png","392","745","Appointed","Executed","A rhetoric teacher used as a front man for the last real push to bring back the old gods.","Eugenius was a rhetoric teacher elevated to the western throne as a puppet by the Frankish general Arbogast. He represented the last serious attempt to restore pagan influence in the empire and was defeated by Theodosius I at the Battle of the Frigidus in 394 AD.","Gallia","Pagan","false"
"Theodosian dynasty","Theodosius I","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Bust_of_Theodosius_I_%28cropped%29.jpg/200px-Bust_of_Theodosius_I_%28cropped%29.jpg","379","5834","Appointed","Natural causes","A Spaniard who split the empire and elevated the Christians.","Theodosius I was a Spaniard recalled to service after the disaster at Adrianople and made emperor of the east. He made Christianity the official state religion, outlawed pagan worship, and was the last emperor to rule both halves of the Roman Empire.","Hispania","Orthodox","false"
"Theodosian dynasty","Arcadius","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Arcadius_Istanbul_Museum_%28cropped%29.JPG/200px-Arcadius_Istanbul_Museum_%28cropped%29.JPG","395","4849","Dynastic succession","Natural causes","His ministers and his wife ran everything while he wore the crown.","Arcadius became eastern Roman emperor at about seventeen and was dominated throughout his reign by powerful ministers like Rufinus and Eutropius, as well as his wife Eudoxia. Despite his weak personal rule, the eastern empire remained relatively stable.","Hispania","Orthodox","false"
"Theodosian dynasty","Honorius","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Diptych_of_Honorius_%28head%29.jpg/200px-Diptych_of_Honorius_%28head%29.jpg","395","10429","Dynastic succession","Natural causes","Allegedly devastated when he heard news his chicken had perished, relieved when it was Rome instead.","Honorius ruled the western Roman Empire for nearly thirty years while it disintegrated around him, losing Britain and watching as Rome was sacked by the Visigoths in 410 AD. He was reportedly more upset about the death of a favorite chicken named Roma than the fall of the city.","Constantinople","Orthodox","false"
"Theodosian dynasty","Constantine III","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Solidus_of_Constantine_III_%28west%29.png/200px-Solidus_of_Constantine_III_%28west%29.png","407","1460","Usurped","Murdered","Rose to power in Britain, and some say he was the grandfather of King Arthur.","Constantine III was a common soldier in Britain proclaimed emperor, possibly because of his auspicious name echoing Constantine I. He crossed to Gaul and briefly controlled much of the western provinces before being defeated, captured, and executed.","Illyricum","Orthodox","false"
"Theodosian dynasty","Theodosius II","https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Theodosius_II_Louvre_Ma1036.jpg/200px-Theodosius_II_Louvre_Ma1036.jpg","408","15417","Dynastic succession","Natural causes","Crowned at seven, he left behind legal and physical walls that lasted for centuries.","Theodosius II became eastern emperor at age seven and reigned for over 42 years, one of the longest reigns in Roman history. He is best known for the Codex Theodosianus and the massive Theodosian Walls that protected Constantinople for centuries.","Constantinople","Orthodox","false"
"Theodosian dynasty","Constantius III","https://upload.wikimedia.org/wikipedia/commons/8/89/Constantius_III_diptych_%28detail%29.jpg","409","205","Marriage","Natural causes","The real power who finally got the title to match, only to die months later.","Constantius III was a powerful general who effectively ran the western empire and married Galla Placidia, the sister of Honorius, to legitimize his position. He was briefly recognized as co-emperor but died of illness after only about seven months.","Illyricum","Orthodox","false"
"Theodosian dynasty","Joannes","https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Solidus_of_Joannes.png/200px-Solidus_of_Joannes.png","423","365","Usurped","Executed","A bureaucrat who sat on a throne that wasn't his for about a year before a very public end.","Joannes was a senior civil servant placed on the western throne by the general Castinus after the death of Honorius. He was overthrown by an eastern military expedition after about a year, captured, publicly mutilated, and executed.","Italia","Orthodox","false"
"Theodosian dynasty","Valentinian III","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Bust_of_Valentinian_III%2C_Louvre_%28head%29.jpg/200px-Bust_of_Valentinian_III%2C_Louvre_%28head%29.jpg","425","10726","Dynastic succession","Murdered","He stabbed his best defender in a jealous rage, then the dead man's friends returned the favor.","Valentinian III was placed on the western throne as a child by the eastern court and reigned for nearly thirty years. He personally murdered his general Aetius in a fit of jealousy and was himself assassinated shortly after by Aetius's supporters.","Italia","Orthodox","false"
"Theodosian dynasty","Marcian","https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Solidus_of_Marcian.png/200px-Solidus_of_Marcian.png","450","2342","Marriage","Natural causes","He called a famous council and told a feared warlord he wouldn't be paying anymore.","Marcian was a retired military officer who became eastern emperor by marrying Pulcheria, the sister of Theodosius II. He refused to pay tribute to Attila the Hun and convened the Council of Chalcedon in 451 AD, which defined orthodox Christological doctrine.","Thrace","Orthodox","false"
"Last western emperors","Petronius Maximus","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Solidus_of_Petronius_Maximus.png/200px-Solidus_of_Petronius_Maximus.png","450","74","Marriage","Murdered","He may have engineered the vacancy he filled, then sea raiders showed up two months later.","Petronius Maximus was a wealthy senator who schemed to take the western throne after Valentinian III's assassination, which he may have helped arrange. His reign lasted barely two months before the Vandals arrived to sack Rome and he was killed trying to flee.","Italia","Orthodox","false"
"Last western emperors","Avitus","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Solidus_Avitus_Arles_%28obverse%29.jpg/200px-Solidus_Avitus_Arles_%28obverse%29.jpg","455","463","Usurped","Unknown","His barbarian allies got him the job, but his accent and connections cost him everything.","Avitus was a Gallic aristocrat and diplomat who was proclaimed western emperor with Visigothic support. He was forced to abdicate after little more than a year when Italian factions turned against his Gallic connections.","Gallia","Orthodox","false"
"Last western emperors","Majorian","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Solidus_Majorian_Arles_%28obverse%29.jpg/200px-Solidus_Majorian_Arles_%28obverse%29.jpg","457","1310","Usurped","Executed","Showed potential but was cut short by burning boats and a betrayal.","Majorian is considered by many historians to be the last competent western Roman emperor, personally leading campaigns to reassert control over Gaul and Spain. His plan to invade Vandal Africa was sabotaged when his fleet was destroyed, and he was deposed and executed by his generalissimo Ricimer.","Italia","Orthodox","false"
"Last western emperors","Libius Severus","https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Libiusseverus01854obverse.jpg/200px-Libiusseverus01854obverse.jpg","461","1451","Appointed","Natural causes","A puppet controlled by the barbarian magister militum.","Libius Severus was a puppet emperor installed by the barbarian general Ricimer, who held the real power in the western empire. He was never recognized by the eastern court and died after about four years, possibly poisoned.","Italia","Orthodox","false"
"Last western emperors","Anthemius","https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Solidus_of_Anthemius.png/200px-Solidus_of_Anthemius.png","467","1914","Appointed","Murdered","Sent from the east to fix the west, his big naval gamble failed spectacularly.","Anthemius was an eastern aristocrat and former general sent west by the eastern court to rule. His joint naval expedition with the east against the Vandals ended in a catastrophic defeat, and he was killed during a conflict with Ricimer in Rome.","Constantinople","Orthodox","false"
"Last western emperors","Olybrius","https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Tremissis_Olybrius_%28obverse%29.jpg/200px-Tremissis_Olybrius_%28obverse%29.jpg","467","210","Appointed","Natural causes","Connected to barbarian royalty through marriage, he was installed and then died of disease within months.","Olybrius was a Roman nobleman living in Constantinople who was related to the Vandal royal family through marriage. He was installed as western emperor by the general Ricimer and died of natural causes after only about seven months.","Constantinople","Orthodox","false"
"Last western emperors","Glycerius","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Solidus_Glycerius_Ravenna_%28obverse%29.jpg/200px-Solidus_Glycerius_Ravenna_%28obverse%29.jpg","473","476","Usurped","Deposed","Replaced without a fight, he spent the rest of his life as a churchman.","Glycerius was a military official elevated to the western throne by the barbarian general Gundobad. He was deposed without bloodshed when the eastern court sent Julius Nepos as his replacement and was allowed to live out his days as a bishop in Dalmatia.","Illyricum","Orthodox","false"
"Last western emperors","Julius Nepos","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Solidus_of_Julius_Nepos.png/200px-Solidus_of_Julius_Nepos.png","474","429","Marriage","Murdered","Driven out of his own territory, he kept claiming the title from across the water until someone ended that too.","Julius Nepos was sent from Dalmatia with eastern backing to claim the western throne. He was driven out of Italy by his military commander Orestes after little more than a year and continued to claim the title from Dalmatia until his murder.","Illyricum","Orthodox","false"
"Last western emperors","Romulus Augustulus","https://upload.wikimedia.org/wikipedia/commons/0/0d/Romulus_Augustulus%2C_RIC_X_3419_%28obverse%29.jpg","475","304","Appointed","Deposed","A teenager whose deposition ended the empire with a whimper.","Romulus Augustulus was a teenager installed on the western throne by his father, the general Orestes. He was deposed by the Germanic chieftain Odoacer, who sent him into comfortable retirement in southern Italy, and he is traditionally considered the last western Roman emperor.","Illyricum","Orthodox","false"
"Leonid dynasty","Leo I","https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Leo_I_Louvre_Ma1012_n2_%28cropped%29.jpg/200px-Leo_I_Louvre_Ma1012_n2_%28cropped%29.jpg","457","6181","Appointed","Natural causes","He spent years scheming to be free of the man who made him, then launched a naval disaster.","Leo I was a Thracian soldier elevated to the eastern throne by the Alan general Aspar, then spent much of his reign undermining Aspar's influence. He orchestrated Aspar's assassination and launched a disastrous naval expedition against the Vandals in North Africa.","Thrace","Orthodox","false"
"Leonid dynasty","Zeno","https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Semissis_of_Zeno.png/200px-Semissis_of_Zeno.png","474","5451","Dynastic succession","Natural causes","A despised outsider from the mountains who got kicked out and came back.","Zeno was an Isaurian from the mountainous interior of Anatolia who was widely disliked as an outsider in Constantinople. He was briefly overthrown by Basiliscus but returned to power, and during his reign the western Roman Empire formally came to an end in 476 AD.","Anatolia","Orthodox","false"
"Leonid dynasty","Basiliscus","https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Solidus_of_Basiliscus.png/200px-Solidus_of_Basiliscus.png","475","575","Usurped","Murdered","He grabbed power during a rival's absence and managed to offend everyone before starving in a cell.","Basiliscus was the brother-in-law of Leo I who seized the eastern throne after driving out Zeno. He alienated the church with unpopular religious policies and was overthrown when Zeno returned with Isaurian support, then was starved to death with his family.","Thrace","Orthodox","false"
"Leonid dynasty","Anastasius I","https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flavius_Anastasius_Probus_01c_%28Anastasius_I%29_%28cropped%29.JPG/200px-Flavius_Anastasius_Probus_01c_%28Anastasius_I%29_%28cropped%29.JPG","491","9943","Appointed","Natural causes","An old man of different eye colours, who left the treasury overflowing.","Anastasius I was a former palace official chosen as eastern emperor at an advanced age, partly for his integrity. He reformed the empire's tax system and currency, left a massive surplus in the treasury, and was known for having two different colored eyes (heterochromia).","Illyricum","Miaphysite","false"
"Justinian dynasty","Justin I","https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Solidus_of_Justin_I_%28obverse%29.jpg/200px-Solidus_of_Justin_I_%28obverse%29.jpg","518","3308","Usurped","Natural causes","He couldn't read but had a nephew who could run an empire.","Justin I was an illiterate peasant from the Balkans who rose through the army to become commander of the palace guard, then emperor at about age sixty-eight. He relied heavily on his well-educated nephew Justinian for policy decisions.","Illyricum","Orthodox","false"
"Justinian dynasty","Justinian I","https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Mosaic_of_Justinianus_I_%28cropped%29.jpg/200px-Mosaic_of_Justinianus_I_%28cropped%29.jpg","527","14093","Dynastic succession","Natural causes","A law-codifying builder whose ambition was checked by plague.","Justinian I was the most ambitious ruler of the later Roman Empire, reconquering North Africa, Italy, and parts of Spain from barbarian kingdoms. He commissioned the Corpus Juris Civilis and the construction of the Hagia Sophia in Constantinople.","Illyricum","Orthodox","false"
"Justinian dynasty","Justin II","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Solidus_of_Justin_II_%28obverse%29.jpg/200px-Solidus_of_Justin_II_%28obverse%29.jpg","565","4701","Dynastic succession","Natural causes","The strain of an overstretched inheritance broke his mind.","Justin II was Justinian I's nephew who inherited an overstretched empire and struggled to maintain its recent gains. He suffered a severe mental breakdown during his reign and had to hand effective control to the general Tiberius.","Constantinople","Orthodox","false"
"Justinian dynasty","Tiberius II","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Tiberios_II_%28obverse%29.jpg/200px-Tiberios_II_%28obverse%29.jpg","578","1414","Dynastic succession","Natural causes","Known for giving away enormous sums of money, he got the job when his friend went crazy.","Tiberius II Constantine was a trusted general who governed for the mentally ill Justin II before formally taking power. Known for distributing enormous sums to the people, he chose his successor Maurice by giving his daughter in marriage.","Thrace","Orthodox","false"
"Justinian dynasty","Maurice","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Solidus_of_Maurice_%28transitional_issue%29.png/200px-Solidus_of_Maurice_%28transitional_issue%29.png","582","7404","Dynastic succession","Executed","A successful emperor, whose death at the hands of a centurion marked the start of the end.","Maurice was the son-in-law of Tiberius II who fought long wars against Persia and the Avars on the Danube frontier. His unpopular cost-cutting measures led to a military revolt under Phocas that cost Maurice his life and his entire family's lives.","Anatolia","Orthodox","false"
"Justinian dynasty","Phocas","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Phocas_%28cropped3to4%29.jpg/200px-Phocas_%28cropped3to4%29.jpg","602","2867","Usurped","Executed","A low-ranking officer who murdered his way to the top and was blamed by all for the troubles to come.","Phocas was a low-ranking army officer who led a mutiny that overthrew and murdered the emperor Maurice and his entire family. His brutal and incompetent reign saw the empire lose vast territory to Persia before he was overthrown and executed by Heraclius.","Thrace","Orthodox","false"
"Heraclian dynasty","Heraclius","https://upload.wikimedia.org/wikipedia/commons/7/71/Heraclius_as_job_%28cropped%29.jpg","610","11076","Usurped","Natural causes","Gambled and saved the empire, just to lose it all after.","Heraclius sailed from Africa to overthrow the tyrant Phocas, then lost nearly everything to a Persian invasion before launching a dramatic counter-campaign that destroyed the Sasanian Empire. He lived to see his reconquests immediately swept away by the Arab conquests.","Anatolia","Orthodox","false"
"Heraclian dynasty","Heraclius Constantine","https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Solidus_Heraclius_Constantine_Obverse.jpg/200px-Solidus_Heraclius_Constantine_Obverse.jpg","610","104","Dynastic succession","Natural causes","Decades as heir, months as ruler, then disease triggered a family crisis.","Heraclius Constantine (Constantine III) was the eldest son of Heraclius who had been co-emperor for many years. He held sole power for only a few months before dying of tuberculosis, triggering a succession crisis.","Constantinople","Orthodox","false"
"Heraclian dynasty","Heraclonas","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Heraclius_solidus_sb_764_%28obverse%29.png/200px-Heraclius_solidus_sb_764_%28obverse%29.png","610","161","Dynastic succession","Deposed","His mother's shadow and his predecessor's suspected poisoner hung over his brief reign.","Heraclonas was a teenage son of Heraclius who briefly held power alongside his young nephew. He was dominated by his mother Martina, who was suspected of poisoning his half-brother, and was deposed, had his nose cut off, and sent into exile.","Constantinople","Orthodox","false"
"Heraclian dynasty","Constans II","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Solidus_Constans_II_%28transparent%29.png/200px-Solidus_Constans_II_%28transparent%29.png","641","9790","Dynastic succession","Murdered","He left the capital for a western island and was killed with a bathroom fixture.","Constans II took power as a young boy and ruled for over 26 years, controversially relocating from Constantinople to Sicily. He became the first emperor in centuries to visit Rome and was murdered in his bath in Syracuse, reportedly struck with a soap dish.","Constantinople","Orthodox","false"
"Heraclian dynasty","Constantine IV","https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Constantine_IV_mosaic_%28cropped%29_%282%29.png/200px-Constantine_IV_mosaic_%28cropped%29_%282%29.png","668","6140","Dynastic succession","Natural causes","Gave arab ships a fiery end, bringing the first major Arab defeat in 50 years of expansion.","Constantine IV successfully defended Constantinople against a massive Arab naval siege lasting several years, employing the secret weapon known as Greek fire. He convened the Third Council of Constantinople (the sixth ecumenical council), which resolved the Monothelite controversy.","Constantinople","Orthodox","false"
"Heraclian dynasty","Justinian II","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Justinian_II_mosaic_%28cropped%29.png/200px-Justinian_II_mosaic_%28cropped%29.png","685","3724","Dynastic succession","Deposed","A cut nose couldn't stop him from coming back.","Justinian II had his nose cut off when first overthrown, then spent years in exile among the Bulgars and Khazars. He married a Khazar princess, returned with a barbarian army to reclaim the throne, and ruled a second time before being overthrown again and killed.","Constantinople","Orthodox","false"
"Twenty Years' Anarchy","Leontius","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Solidus_of_Leontius.png/200px-Solidus_of_Leontius.png","695","1095","Usurped","Executed","Removed his predecessor's nose, only to have his own removed later.","Leontius was a general who overthrew Justinian II and seized the eastern throne. He launched a failed attempt to retake North Africa from the Arabs, was overthrown by the naval commander Apsimar (Tiberius III), had his nose cut off, and was later executed.","Anatolia","Orthodox","false"
"Twenty Years' Anarchy","Tiberius III","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Solidus_of_Tiberius_III_Apsimar.png/200px-Solidus_of_Tiberius_III_Apsimar.png","698","2555","Usurped","Executed","He changed his name to sound more imperial, but the man he'd deposed came back for revenge.","Tiberius III was originally a naval officer named Apsimar who took a more imperial name upon seizing power. He governed competently but was overthrown when the exiled Justinian II returned with a Bulgar army, and was publicly executed.","Anatolia","Orthodox","false"
"Twenty Years' Anarchy","Philippicus","https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Solidus_of_Philippicus.png/200px-Solidus_of_Philippicus.png","711","575","Usurped","Deposed","He revived a condemned heresy and managed to anger both the pope and his own subjects.","Philippicus was of Armenian descent and took the throne after overthrowing the returned Justinian II. He promoted Monothelitism, a theological position condemned by the Sixth Ecumenical Council, and was deposed and blinded after less than two years.","Armenia","Orthodox","false"
"Twenty Years' Anarchy","Anastasius II","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Tremissis_of_Anastasius_II.png/200px-Tremissis_of_Anastasius_II.png","713","547","Appointed","Executed","His sensible military reforms were rewarded with a mutiny.","Anastasius II was a former bureaucrat who took power after a coup and attempted to reform the military and prepare defenses against the Arab threat. His plans provoked a mutiny, and he was overthrown and eventually executed.","Constantinople","Orthodox","false"
"Twenty Years' Anarchy","Theodosius III","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Coin_of_Theodosius_III.png/200px-Coin_of_Theodosius_III.png","715","547","Dynastic succession","Deposed","A tax collector who never wanted the job and left it the moment someone better showed up.","Theodosius III was a reluctant tax collector forced into the purple by rebellious troops. He offered almost no resistance when the military commander Leo marched on Constantinople and abdicated to enter a monastery.","Constantinople","Orthodox","false"
"Isaurian dynasty","Leo III the Isaurian","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Solidus_of_Leo_III_sb1504.png/200px-Solidus_of_Leo_III_sb1504.png","717","8844","Usurped","Natural causes","Ended the anarchy and defended the capital.","Leo III was a military commander from the eastern frontier who seized power and successfully repelled a major Arab siege of Constantinople in 717-718 AD. He initiated the policy of iconoclasm, the destruction of religious images, which divided the empire for over a century.","Syria","Iconoclast","false"
